Date,Record Number,Record Type,Address,Latitude,Longitude,Permit Name,Status,Description
12/22/2025,BA-202506279,Arborist Illegal Activity,"1841 ALMETA AVE NE, ATLANTA GA 30307",33.7662037,-84.3278461,Illegal Activity,Fine,"7"", 10"", 8"", & 7"" trees removed from rear yard without permit application, or issuance."
12/19/2025,BA-202506269,Arborist Illegal Activity,"4219 BEVERLY LN NE, ATLANTA GA 30342",33.8699155,-84.375549,Unpermitted Destruction,Fine,"Unpermitted removal of 3/3/4"" hickory shown on plans and removed before precon for wall project"
12/19/2025,BA-202506268,Arborist Illegal Activity,"331 HERRINGTON DR NE, ATLANTA GA 30342",33.8669493,-84.3767756,Investigation,Fine,
12/19/2025,BA-202506266,Arborist Illegal Activity,"1061 HOWELL MILL RD NW, ATLANTA GA 30318",33.7836728,-84.4117369,Illegal Activty,Fine,"Illegal destruction of 12"" Oak. Destroyed due to removal of entire canopy."
12/19/2025,BA-202506265,Arborist Illegal Activity,"2824 WATERS RD SW, ATLANTA GA 30354",33.67754032,-84.39181092,Illegal Activity,Fine,Illegal Removal of two Pines in the front. Diameters unknown.
12/19/2025,BA-202506264,Arborist Illegal Activity,"772 UNITED AVE SE, ATLANTA GA 30312",33.7329149,-84.3646085,Illegal Activity,Closed,Illegal removal of two River Birches in the front of the property. Diameter unknown.
12/18/2025,BA-202506258,Arborist Illegal Activity,"98 HOGUE ST NE, ATLANTA GA 30312",33.7570635,-84.3712152,IIllegal Activity,Fine,"Fines and fees associated with the illegal destruction of 5 ROW trees and the illegal removal of one ROW tree, totalling 60"" DBH"
12/17/2025,BA-202506238,Arborist Illegal Activity,"3212 TOWERVIEW DR NE, ATLANTA GA 30324",33.8414365,-84.3535558,Investigation,Fine,"Illegal tree destruction of (1) 22"" Beech (Sideyard Left)."
12/16/2025,BA-202506226,Arborist Illegal Activity,"1235 OAK ST SW, ATLANTA GA 30310",33.7405667,-84.4282504,Illegal Destruction,Fine,"Destruction of one 18"" maple tree without permit."
12/12/2025,BA-202506185,Arborist Illegal Activity,"3 CHEROKEE RD NW, ATLANTA GA 30305",33.834027,-84.391173,Site Investigation,Fine,
12/12/2025,BA-202506183,Arborist Illegal Activity,"2925 LOOKOUT PL NE, ATLANTA GA 30305",33.834514,-84.3744713,Investigation,Fine,
12/12/2025,BA-202506179,Arborist Illegal Activity,"3740 POWERS FERRY RD NW, ATLANTA GA 30342",33.8572288,-84.3850559,Site Investigation,Fine,"5 trees destroyed by work prior to any permitting, reported on plans submitted due to Site Development SWOCredit given for 1 tree at 2.5"" not the 7 at 17.5"" reported on plans due to spacing not documentedPines at 16"", 18"", 18"", 24""Sweetgum at 16"""
12/11/2025,BA-202506163,Arborist Illegal Activity,"1220 WEST WESLEY RD NW, ATLANTA GA 30327",33.8422279,-84.458387,Unpermitted Destruction,Fine,"Unpermitted removal of multiple trees at rearBeech- 24"" 28""White oak 27""Tulip-poplar 28"" 12"" 44""Sweetgum 24""SWO posted on siteApex Tree on site picking up logs"
12/10/2025,BA-202506146,Arborist Illegal Activity,"446 LANGHORN ST SW, ATLANTA GA 30310",33.7425246,-84.4322828,Illegal Removal,Fine,"Removal of the following two trees without permit: one 44"" oak and one 31"" hackberry."
12/10/2025,BA-202506127,Arborist Illegal Activity,"2091 BROWNS MILL RD SE, ATLANTA GA 30315",33.6971014,-84.3743318,Illegal Activity,Fine,"Trees 1070 and 1071 were removed prior to completion of yellow posting. 28"" Hardwood26"" Hardwood54"" total."
12/8/2025,BA-202506100,Arborist Illegal Activity,"2649 RIDGE VALLEY RD NW, ATLANTA GA 30327",33.8315554,-84.4394122,Unpermitted Removal,Fine,"Unpermitted removal of multiple trees beyond the sole DDH approved pine on site24"" pine, 14"" hardwood at front right43"" tulip-poplar, 26"" pine, 14"" pine, 20"" hardwood right and rear right of house25"" pine, 25"" pine, 6"" hardwood, 10"" sweetgum, 15"" hackberry, 15"" oak 14"" oak left of property11"" trees at 251"" destroyed on site"
12/4/2025,BA-202506065,Arborist Illegal Activity,"147 EAST LAKE TER SE, ATLANTA GA 00000",33.748502,-84.3142346,Illegal Activity,Fine,"Grading and digging outside of the approved LOD. Structural root plate cut on tree #5 (15"" Hemlock)."
11/21/2025,BA-202505935,Arborist Illegal Activity,"1711 HORTENSE PL NW, ATLANTA GA 30318",33.7762453,-84.4423471,Illegal Activity,Fine,"Trees #3, 5, 6, & 7 shown on site plan associated with BB-202508375 removed without permit application, or issuance. Tree #4 removed before yellow posting and before permit issuance."
11/20/2025,BA-202505910,Arborist Illegal Activity,"909 COURTENAY DR NE, ATLANTA GA 30306",33.7897217,-84.357308,Illegal Activity,Fine,"Grading outside of the approved LOD compromised over 33% of the net root zone on tree #9 (27"" Poplar). Illegal removal of tree #7 (7"" Boxelder)"
11/20/2025,BA-202505907,Arborist Illegal Activity,"1597 ALDER CT SE, ATLANTA GA 30317",33.7493403,-84.3352372,Illegal Activity,Fine,"Grading and land disturbance outside of the approved LOD impacting the SRP of a 44"" Oak in the rear center and an 8"" Pecan on the right side of the property."
11/19/2025,BA-202505894,Arborist Illegal Activity,"959 ALLOWAY PL SE, ATLANTA GA 30316",33.7281713,-84.3561678,Illegal Activity,Fine,"Fines and fees associated with the illegal destruction of 5 trees totaling 70"" DBH. Trees were destroyed by unapproved construction."
11/19/2025,BA-202505878,Arborist Illegal Activity,"347 FORTUNE ST NE, ATLANTA GA 30312",33.7626737,-84.3665451,Illegal Activity,Fine,"Removal of a 9"" Hardwood without a permit."
11/17/2025,BA-202505854,Arborist Illegal Activity,"1590 EVANS DR SW, ATLANTA GA 30310",33.7105496,-84.4241541,Illegal Removal,Fine,"Removal of the following three trees without permit: (T148) 10"" water oak, (T183) 10"" hemlock, (T215) 34"" water oak."
11/14/2025,BA-202505811,Arborist Illegal Activity,"1300 PASADENA AVE NE, ATLANTA GA 30306",33.7987602,-84.3444617,Illegal Activity,Fine,"26"" Pine in the rear left, 27"" Pine in the rear center, and 35"" Sweetgum on the right of the house were all removed after permit denial."
11/14/2025,BA-202505808,Arborist Illegal Activity,"3620 RIDGEWOOD RD NW, ATLANTA GA 30327",33.8543717,-84.4415856,Unpermitted Destruction,Fine,"Unpermitted destruction by topping of 6 crape myrtles at front, 6 trees at 138""Topping specifically stated in tree ordinance as violation and is not arboriculturally sound practice"
11/13/2025,BA-202505792,Arborist Illegal Activity,"17 LAKEVIEW DR NE, ATLANTA GA 30317",33.7518992,-84.3137257,Illegal Activity,Fine,"15"" Hemlock tree removed from the front yard without permit application, or issuance."
11/13/2025,BA-202505782,Arborist Illegal Activity,"615 OLD IVY RD NE, ATLANTA GA 30342",33.8570431,-84.3671774,Unpermitted Removal,Fine,"Unpermitted removal of multiple trees on sitePine and oak at left of house removed and ground before measurements29"" pine at rear leftWater oak at right poorly pruned, reported to be removed later by crew on site"
11/12/2025,BA-202505778,Arborist Illegal Activity,"392 CAREY DR SE, ATLANTA GA 30315",33.6939814,-84.376198,Illegal Removal,Fine,"Illegal removal of a 12"" Pine at rear left without a permit."
11/12/2025,BA-202505771,Arborist Illegal Activity,"351 PETERS ST SW, ATLANTA GA 30313",33.7450548,-84.4042447,Illegal Removal,Fine,"Removal of one 16"" hardwood without permit."
11/10/2025,BA-202505745,Arborist Illegal Activity,"4108 NORTH IVY RD NE, ATLANTA GA 30342",33.8674318,-84.3658593,Unpermitted Removal,Fine,"Unpermitted removal of 25"" sweetgum at front, previously issued permit approved 1 26"" sweetgum.  2 trees were removed"
11/7/2025,BA-202505711,Arborist Illegal Activity,"841 LULLWATER PARK LN NE, ATLANTA GA 30306",33.77726342,-84.34651681,Illegal Activity,Fine,"21"" Hardwood was removed in the front of 841 Lullwater Park Lane. There was no permit application, or issuance."
11/6/2025,BA-202505681,Arborist Illegal Activity,"1597 ALDER CT SE, ATLANTA GA 30317",33.7493403,-84.3352372,Illegal Activity,Fine,"34"" Oak tree removed from center of rear yard. There is no permit application, or issuance for the removal."
11/5/2025,BA-202505655,Arborist Illegal Activity,"4287 GLENGARY DR NE, ATLANTA GA 30342",33.8717298,-84.362007,Unpermitted Destruction,Fine,"Unpermitted destruction reported by designer of T6, 34"" hardwood at front"
11/4/2025,BA-202505612,Arborist Illegal Activity,"1852 LANGSTON AVE SW, ATLANTA GA 30310",33.7044097,-84.4192812,Illegal Removal,Fine,"The following two trees were removed without permit: one 24"" hardwood and one 17"" hardwood."
11/4/2025,BA-202505610,Arborist Illegal Activity,"215 FLORA AVE NE, ATLANTA GA 30307",33.7595765,-84.3435838,Illegal Activity,Fine,"Illegal removal of 11"" Oak, 17"" Elm, & 10"" Elm along right side of property. No permit was applied, or issued for the removals."
11/3/2025,BA-202505587,Arborist Illegal Activity,"1569 LANGSTON AVE SW, ATLANTA GA 30310",33.7129547,-84.4238268,Illegal Removal,Fine,"Removal of the following three trees without permit: 18"" red oak, 9"" hardwood, and 12"" sweetgum."
11/3/2025,BA-202505584,Arborist Illegal Activity,"3475 FAIRBURN PL NW, ATLANTA GA 30331",33.772114,-84.5012207,Illegal Removal,Fine,"Removal of one 18"" red maple without permit."
11/3/2025,BA-202505580,Arborist Illegal Activity,"3499 NANCY CREEK RD NW, ATLANTA GA 30327",33.8508408,-84.4401535,Unpermitted Removal,Fine,"Removal of 18"" oak prior to inspection for yellow postingCredit given for 1 replacement overstory at 3"" as per plan"
10/31/2025,BA-202505556,Arborist Illegal Activity,"1331 GREENLAND DR NE, ATLANTA GA 30306",33.7909872,-84.3609879,Illegal Activity,Fine,"Fence installed outside of the approved LOD. Fence post dug into the SRP of a 15"" Poplar in the rear right. This tree is labelled s a 15"" Oak on the plan."
10/30/2025,BA-202505534,Arborist Illegal Activity,"4501 WIEUCA RD NE, ATLANTA GA 30342",33.8735669,-84.3765321,Unpermitted Destruction,Fine,"Unpermitted destruction of 14"" pine and 38"" hardwood at right, pine by destruction of upper canopy, hardwood by construction well within the SRP of tree outside of permitted LoD"
10/29/2025,BA-202505519,Arborist Illegal Activity,"1490 BROOKLYN AVE NW, ATLANTA GA 30309",33.795385,-84.403428,Illegal Tree Removal,Fine,"Illegal tree removal of (3)6"" Hardwoods."
10/29/2025,BA-202505514,Arborist Illegal Activity,"1890 WEST PACES FERRY RD NW, ATLANTA GA 30327",33.846593,-84.4514704,Unpermitted Destruction,Fine,"Unpermitted destruction by topping of 3 Kousa dogwood at front right of drive3 trees at 10"" each"
10/28/2025,BA-202505508,Arborist Illegal Activity,"140 CHASTAIN PARK AVE NW, ATLANTA GA 30339",33.8751827,-84.3913426,Illegal Tree Removal,Fine,"Fines and fees assocaiated with the illegal removal of 46 trees and 650"" DBH"
10/28/2025,BA-202505495,Arborist Illegal Activity,"854 COURTENAY DR NE, ATLANTA GA 30306",33.7901736,-84.3591071,Illegal Activity,Fine,"SRP impacted with construction activities outside of the approved LOD on trees #2 (26"" Oak) and tree #7 (36"" Poplar)"
10/27/2025,BA-202505485,Arborist Illegal Activity,"132 RACINE ST SW, ATLANTA GA 30314",33.7515518,-84.4409927,Illegal Destruction,Invoiced,"Destruction of one 26"" water oak tree without permit."
10/24/2025,BA-202505453,Arborist Illegal Activity,"147 EAST LAKE TER SE, ATLANTA GA 00000",33.748502,-84.3142346,Illegal Activity,Fine,"Tree #4 (24"" HW) was removed before the posting."
10/24/2025,BA-202505450,Arborist Illegal Activity,"1579 LANGSTON AVE SW, ATLANTA GA 30310",33.7128387,-84.4237787,Illegal Removal,Fine,"Removal of one 6"" hardwood without permit."
10/23/2025,BA-202505435,Arborist Illegal Activity,"2257 BARGE RD SW, ATLANTA GA 30331",33.6940699,-84.5065992,Illegal Destruction,Fine,"Destruction of one 16"" magnolia tree without permit."
10/22/2025,BA-202505412,Arborist Illegal Activity,"827 BROOKRIDGE DR NE, ATLANTA GA 30306",33.7844229,-84.3600361,Illegal Activity,Fine,"Tree #11 (8"" HW, tree #12 (10"" HW), and tree #13 (11"" HW) removed without permit application, or issuance."
10/22/2025,BA-202505392,Arborist Illegal Activity,"1121 TUCKER AVE SW, ATLANTA GA 30310",33.7250448,-84.4240091,Illegal Removal,Fine,"Removal of one 9"" magnolia tree without permit."
10/22/2025,BA-202505391,Arborist Illegal Activity,"1558 FOOTE ST NE, ATLANTA GA 30307",33.75812837,-84.3364348,Illegal Activity,Fine,"Land disturbance outside of the approved LOD. SRP impacted on 49"" Water Oak on adjacent property in the front left. Over 33% net root zone impacted on 24"" Pecan in front on right side. 24"" HW removed from the right side of the house without permit application, or issuance."
10/21/2025,BA-202505385,Arborist Illegal Activity,"3209 WEST SHADOWLAWN AVE NE, ATLANTA GA 30305",33.8433378,-84.3746713,Illegal Tree Destruction,Fine,"Illegal tree destruction of (1)9"" Sweetgum, (1)12"" Oak, (1)8"" Sweetgum, (1)12"" Oak, & (1)24"" Pine."
10/21/2025,BA-202505383,Arborist Illegal Activity,"603 EAST PACES FERRY RD NE, ATLANTA GA 30305",33.8396236,-84.3675456,Investigation,Pending - Illegal Activity,
10/21/2025,BA-202505382,Arborist Illegal Activity,"181 ADAIR AVE SE, ATLANTA GA 30315",33.7059933,-84.3822523,Illegal Tree Destruction,Fine,"Fine and fees for illegal tree destruction of one 20"" DBH HW in the ROW due to unpermitted construction."
10/21/2025,BA-202505369,Arborist Illegal Activity,"4197 NORTH STRATFORD RD NE, ATLANTA GA 30342",33.8677715,-84.3597284,Unpermitted Destruction,Fine,"Reported unpermitted destruction of T5, T16, T173 trees at 84"" destroyed"
10/20/2025,BA-202505358,Arborist Illegal Activity,"532 VALLEY RD NW, ATLANTA GA 30305",33.8561192,-84.4045453,Illegal Activity,Fine,"Per decision of the TCC, The fine (record BA-202303915), Should be split in half. Half of the fines and fees are reflected on the contractor (American Outdoor), and the remaining half is the responsibility of the homeowner. This record is the portion imposed on American Outdoor."
10/20/2025,BA-202505354,Arborist Illegal Activity,"532 VALLEY RD NW, ATLANTA GA 30305",33.8561192,-84.4045453,Illegal Activity,Fine,"Per decision of the TCC, 1/2 of the fines and fees (from record BA-202303915) are reflected on the contractor (American Outdoor), and the remaining portion is reflected on the property owner."
10/20/2025,BA-202505353,Arborist Illegal Activity,"2723 HOSEA L WILLIAMS DR SE, ATLANTA GA 30317",33.751349,-84.2976173,Illegal Activity,Fine,"Illegal Destruction of (3) trees bi impacting the SRP while working outside of the approved LOD. #8 (38"" Poplar), #10 (18"" Sweetgum), #11 (21"" Pine)"
10/20/2025,BA-202505344,Arborist Illegal Activity,"2495 HOSEA L WILLIAMS DR SE, ATLANTA GA 30317",33.7509746,-84.3069207,Illegal Activity,Fine,"42"" Oak tree removed from the front left corner of the property. There was no permit application, or issuance for the removal."
10/17/2025,BA-202505329,Arborist Illegal Activity,"1150 ALTA AVE NE, ATLANTA GA 30307",33.7609452,-84.3501281,Illegal Activity,Fine,Digging in the SRP of tree #5. Digging in SRP and attaching fence to tree #3. No permit exists for the new fence. The trees are destroyed as defined in section 158-26.
10/17/2025,BA-202505323,Arborist Illegal Activity,"983 STOVALL BLVD NE, ATLANTA GA 30319",33.8609076,-84.3554609,Unpermitted Removal,Fine,"Unpermitted removal of additional trees at front beyond DDH and previous destruction 24"" magnolia and 6"" holly at front right 22"" and 34"" pine at front left 4 trees at 86"""
10/16/2025,BA-202505294,Arborist Illegal Activity,"181 ADAIR AVE SE, ATLANTA GA 30315",33.7059933,-84.3822523,Illegal Tree Removal,Fine,Illegal Tree Removal from unpermitted installation of new driveway
10/16/2025,BA-202505289,Arborist Illegal Activity,"3451 PACES VALLEY RD NW, ATLANTA GA 30327",33.8491791,-84.4107103,Unpermitted Destruction,Fine,"Unpermitted destruction of multiple flowering cherries at fence line, no DDH or posting record found.T1-T6, 14"" 13"", 13"", 12"", 13"" 16"" flowering cherries6 trees at 81"" removed"
10/16/2025,BA-202505288,Arborist Illegal Activity,"686 HIGHLAND AVE NE, ATLANTA GA 30312",33.7615241,-84.364706,Illegal Activity,Fine,"SRP impacted on 17"" Oak tree front center near the ROW. Over 33% of net root zone impacted with grading activity. Tree is destroyed as defined in section 158-26 of the tree ordinance."
10/15/2025,BA-202505267,Arborist Illegal Activity,"3797 PEACHTREE DUNWOODY RD NE, ATLANTA GA 30342",33.85885134,-84.35767843,Unpermitted Tree Work,Fine,
10/14/2025,BA-202505261,Arborist Illegal Activity,"2175 JACKSON PKWY NW, ATLANTA GA 00000",33.8147463,-84.4774949,Illegal Tree Removal,Fine,"Fines and fees associated with the illegal destruction of 4 trees totalling 63"" DBH"
10/14/2025,BA-202505246,Arborist Illegal Activity,"2968 RIDGEWOOD RD NW, ATLANTA GA 30327",33.8366934,-84.4481908,Unpermitted Destruction,Fine,"Unpermitted destruction of 3 denied DDH trees on site42"", 38"" and 30"" pines3 trees at 110"""
10/9/2025,BA-202505165,Arborist Illegal Activity,"4025 TUXEDO RD NW, ATLANTA GA 30342",33.8643134,-84.3929578,Illegal Activity,Fine,"Illegal destruction of 12"" Magnolia, 8"" Magnolia, & 37"" Water Oak on the right side of the house. 100% of the net root zones are compromised by the installation of artificial turf. No permit was applied, or issued for the site development in the area."
10/9/2025,BA-202505164,Arborist Illegal Activity,"1330 UNIVERSITY DR NE, ATLANTA GA 30306",33.790637,-84.3432068,Illegal Activity,Assigned,"Land disturbance outside of the approved LOD. Impact exceeds 33% of net root zone, and/or SRP damage on trees #23 &39"
10/8/2025,BA-202505150,Arborist Illegal Activity,"90 1ST AVE SE, ATLANTA GA 30317",33.7500418,-84.3111267,Illegal Activity,Fine,"Digging in the SRP of the 43"" White Oak in the front yard."
10/8/2025,BA-202505147,Arborist Illegal Activity,"348 LAKEMOORE DR NE, ATLANTA GA 30342",33.8665394,-84.3761499,Illegal Activity,Fine,"Tree destruction of 34"" and 26"" Magnolia trees in rear right."
10/8/2025,BA-202505144,Arborist Illegal Activity,"854 COURTENAY DR NE, ATLANTA GA 30306",33.7901736,-84.3591071,Illegal Activity,Fine,"SRP impact with land disturbance outside of the approved LOD. Tree #10: 22"" Hackberry"
10/7/2025,BA-202505121,Arborist Illegal Activity,"652 TIMM VALLEY RD NE, ATLANTA GA 30305",33.8368057,-84.3646174,Illegal Tree Destruction,Fine,"Illegal tree destruction of (1)26"" White Oak, (1)37"" Pine, (1)27"" Pine, (1)18"" Magnolia, & (1)44"" Water Oak."
10/3/2025,BA-202505081,Arborist Illegal Activity,"1845 MONROE DR NE, ATLANTA GA 30324",33.8050714,-84.3740914,Investigation,Fine,
10/3/2025,BA-202505078,Arborist Illegal Activity,"954 SYLVAN PL SW, ATLANTA GA 30310",33.7046181,-84.4195794,Illegal Removal,Assigned,"The following two trees were removed without permit: one 24"" hardwood and one 17"" hardwood."
10/3/2025,BA-202505071,Arborist Illegal Activity,"2618 MEMORIAL DR SE, ATLANTA GA 30317",33.7472491,-84.3016936,Illegal Tree Removal,Fine,"3 trees removed from rear yard without permit application, or issuance."
10/2/2025,BA-202505051,Arborist Illegal Activity,"99 CANDLER RD SE, ATLANTA GA 30317",33.748863,-84.292426,Illegal Activity,Fine,"32"" Post oak on adjacent lot in rear left had well over 20% of the overall canopy removed. 23"" Water Oak in rear has 100% net root zone impact. 13"" & 9"" hardwoods removed outside of fence in rear left. No permit was applied, or issued for the tree removal/destruction."
10/2/2025,BA-202505048,Arborist Illegal Activity,"286 SISSON AVE NE, ATLANTA GA 30317",33.7615213,-84.3148566,Illegal Tree Removal,Fine,"Fine and fees for the illegal removal of two trees at this address. 1) 20"" Pine and 2) 10"" HW"
10/2/2025,BA-202505045,Arborist Illegal Activity,"4168 GLENGARY DR NE, ATLANTA GA 30342",33.8688682,-84.3637232,Illegal Tree Removal,Closed - Illegal Activity,"Fees and fines for ilegal destruction of one 45"" DBH tree in the ROW due to SRP impact from construction"
10/2/2025,BA-202505039,Arborist Illegal Activity,"2194 BOLTON RD NW, ATLANTA GA 30318",33.8142525,-84.4379781,Investigation,Fine,
10/1/2025,BA-202505018,Arborist Illegal Activity,"2668 HOSEA L WILLIAMS DR NE, ATLANTA GA 30317",33.75156434,-84.29966286,Illegal Activity,Fine,"8"" Oak and 20"" Oak removed from rear left without permit application, or issuance."
10/1/2025,BA-202505016,Arborist Illegal Activity,"1314 DORSEY ST SW, ATLANTA GA 30310",33.7187696,-84.4258386,Illegal Destruction,Fine,"Destruction of the following two trees without permit: one 24"" pecan and one 30"" water oak."
10/1/2025,BA-202505008,Arborist Illegal Activity,"3640 BOULDER PARK DR SW, ATLANTA GA 30331",33.7489414,-84.5067314,Illegal Removal,Fine,"Removal of the following eight trees without permit: 37"" hardwood, 27"" pine, 15"" hardwood, 22"" hardwood, 28"" pine, 16"" hardwood, 22"" pine, and 29"" hardwood."
10/1/2025,BA-202504992,Arborist Illegal Activity,"4168 GLENGARY DR NE, ATLANTA GA 30342",33.8688682,-84.3637232,Unpermitted Destruction,Fine,"Unpermitted destruction of T8, T9, T10 and T13 by work outside of approved LoD and destruction of SRP of all 44 trees at 102"""
9/29/2025,BA-202504959,Arborist Illegal Activity,"963 ST CHARLES AVE NE, ATLANTA GA 30306",33.7751362,-84.3559128,Illegal Activity,Fine,"Tree of unknown diameter removed from the right side of the driveway. 17"" Hardwood removed from the rear left. No permit was applied, or issued for the removals."
9/29/2025,BA-202504956,Arborist Illegal Activity,"904 PLYMOUTH RD NE, ATLANTA GA 30306",33.7992261,-84.357591,Illegal Activity,Fine,"Trenched in silt fence outside of the approved LOD. Tree #6 (17"" Hardwood) straight line impact 4.5' distance = 33.36% impact. Tree #7 (32"" Pine) straight line impact 7' distance =36.2% impact. Tree #9 (20"" Hardwood) straight line impact 3' distance = 40.51% impact. Tree #10 (16"" Hardwood) straight line impact 3.5' distance + 36.2% impact. 4 total trees destroyed at 85 diameter inches."
9/29/2025,BA-202504939,Arborist Illegal Activity,"3900 WHITTINGTON DR NE, ATLANTA GA 30342",33.8615585,-84.3729084,Unpermitted Destruction,Fine,"Unpermitted destruction of magnolias at right of drive with changed retaining wall, 13"" and 8"""
9/25/2025,BA-202504911,Arborist Illegal Activity,"1631 ALDER CT SE, ATLANTA GA 30317",33.7493372,-84.3346168,Illegal Activity,Fine,Trenching outside the limits of disturbance and in the structural root plate of trees #10 & 11.
9/25/2025,BA-202504895,Arborist Illegal Activity,"373 5TH ST NE, ATLANTA GA 30308",33.77511683,-84.37498143,Illegal Activity,Fine,"Removal of 11"" hardwood from the neighboring property (368 5th Street) without permission from the owner of the tree, permit application, or issuance."
9/19/2025,BA-202504787,Arborist Illegal Activity,"2626 MEMORIAL DR SE, ATLANTA GA 30317",33.7472447,-84.3013512,Illegal Activity,Fine,"9 trees totaling 130 diameter inches were removed along the right property line. No permit was applied, or issued."
9/19/2025,BA-202504775,Arborist Illegal Activity,"2555 Burton RD NW, ATLANTA GA 30311",33.7563942,-84.4706916,Illegal Removal,Fine,Removal of 20 trees of unknown diameter without permit.
9/19/2025,BA-202504774,Arborist Illegal Activity,"147 HUNTINGTON RD NE, ATLANTA GA 30309",33.8039736,-84.3873239,Illegal Tree Removal,Fine,Illegal removal of (1) Hardwood of unknown diameter.
9/18/2025,BA-202504744,Arborist Illegal Activity,"4174 MCCLATCHEY CIR NE, ATLANTA GA 30342",33.8706153,-84.3681002,Investigation,Fine,"4 trees removed at right of drive on slope, 3 pines and an oak.  No permits on file or applications pending"
9/18/2025,BA-202504742,Arborist Illegal Activity,"916 HALL ST SW, ATLANTA GA 30310",33.73003,-84.4254288,Illegal Removal,Fine,"Removal of the following three trees without permit: one 13"" hardwood, one 12"" hardwood, and one 11"" hardwood."
9/17/2025,BA-202504726,Arborist Illegal Activity,"616 LINWOOD AVE NE, ATLANTA GA 30306",33.7712841,-84.3576369,Illegal Activity,Fine,"Working outside the LOD and outside the scope of work. Trees #4, #7, & #13 have SRP impacts and net root zone impacts over 33%. These trees are destroyed."
9/17/2025,BA-202504723,Arborist Illegal Activity,"2011 COLLEGE AVE NE, ATLANTA GA 00000",33.7612745,-84.3213976,Illegal Activity,Fine,"One Large Water Oak removed from the front yard, and a row of Leland Cypress removed along the right property line. No permit application, or issuance for the removals."
9/12/2025,BA-202504637,Arborist Illegal Activity,"1330 UNIVERSITY DR NE, ATLANTA GA 30306",33.790637,-84.3432068,Illegal Activity,Fine,"Grading and land disturbance outside of the approved LOD. Over 33% of net root zones compromised on trees #1, #4, #11, & #12. SRP cut on tree #2. Tree#22 removed without permit application, or issuance. Other trees impacted #5, #6, #15, #23, & #39"
